"county","state","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Abbeville","SC",25328,25081,25019,24899,24795,24796,24657,24567,24587,24527,24256,24258,24356
"Acadia Parish","LA",61877,61865,61997,62299,62667,62679,62786,62559,62214,62045,57472,57262,56744
"Accomack","VA",33148,33225,33268,32969,32971,32914,32871,32685,32581,32316,33388,33364,33191
"Ada","ID",393354,401262,408862,415951,425471,432862,444486,456548,468764,481587,498260,512914,518907
"Adair","IA",7679,7546,7468,7387,7368,7145,7005,7051,7074,7152,7494,7538,7494
"Adair","KY",18757,18987,18934,19124,19262,19162,19259,19287,19199,19202,18880,18953,19067
"Adair","MO",25625,25657,25675,25703,25521,25353,25244,25429,25476,25343,25269,25179,25165
"Adair","OK",22756,22667,22468,22460,22384,22259,22305,22119,22224,22194,19451,19479,19576
"Adams","CO",443691,452201,460558,469978,479946,490443,497734,503590,511354,517421,520479,523592,527575
"Adams","IA",4023,3994,3910,3891,3877,3754,3692,3657,3644,3602,3710,3642,3611
"Adams","ID",3962,3981,3908,3863,3883,3891,3941,4127,4234,4294,4425,4632,4817
"Adams","IL",67160,67211,67139,66999,66966,66835,66475,66057,65623,65435,65612,65146,64725
"Adams","IN",34444,34368,34400,34644,34758,34945,35178,35385,35595,35777,35852,35939,36068
"Adams","MS",32574,32435,32191,32111,32072,31561,31569,31462,31044,30693,29419,28804,28408
"Adams","ND",2350,2311,2333,2391,2388,2397,2344,2324,2276,2216,2187,2152,2115
"Adams","NE",31328,31204,31345,31527,31389,31567,31683,31808,31514,31363,31177,30990,30970
"Adams","OH",28537,28459,28293,28089,28066,27926,27807,27753,27694,27698,27440,27513,27420
"Adams","PA",101479,101474,101254,101137,101353,101808,101911,102562,103062,103009,103779,105632,106027
"Adams","WA",18790,18877,18944,19098,19177,19233,19369,19651,19736,19983,20608,20640,20961
"Adams","WI",20878,20769,20417,20413,20125,20028,19982,19900,20341,20220,20675,20795,21226
"Addison","VT",36823,36969,36899,36934,36932,36929,36931,36900,36873,36777,37343,37444,37578
"Aiken","SC",160552,161594,162922,163702,164215,165688,167172,168325,169449,170872,169163,171263,174150
"Aitkin","MN",16210,16170,16036,15872,15849,15852,15754,15792,15887,15886,15718,15945,16126
"Alachua","FL",247614,249834,251520,252475,255456,259052,263959,266309,268851,269043,279742,281817,284030
"Alamance","NC",151431,152692,153265,154162,155384,157037,160283,163276,166514,169509,171954,173876,176353
"Alameda","CA",1512986,1530915,1553764,1579593,1607792,1634538,1650950,1660196,1666756,1671329,1680380,1643837,1628997
"Alamosa","CO",15515,15709,15680,15787,15803,15894,16053,16108,16248,16233,16377,16563,16592
"Albany","NY",304086,304596,305723,306589,307151,307433,307597,307717,306585,305506,313987,316301,315811
"Albany","WY",36469,36851,37359,37556,37620,37960,37923,38459,38728,38880,37110,37860,38031
"Albemarle","VA",99204,100213,101464,102270,103732,105117,106431,107768,108377,109330,112502,113742,114534
"Alcona","MI",10879,10743,10573,10554,10450,10330,10360,10309,10360,10405,10189,10300,10417
"Alcorn","MS",37107,37282,37209,37281,37254,37276,37246,37165,36810,36953,34727,34429,34204
"Aleutians East Borough","AK",3166,3259,3294,3343,3346,3373,3363,3455,3395,3337,3425,3424,3398
"Aleutians West Census Area","AK",5559,5582,5676,5777,5822,5781,5705,5729,5640,5634,5222,5155,5122
"Alexander","IL",8206,7992,7717,7238,7083,6762,6459,6278,6041,5761,5173,5032,4858
"Alexander","NC",37233,37026,36922,37012,36987,36960,37133,37143,37331,37497,36482,36467,36512
"Alexandria city","VA",140729,144219,147291,149637,151375,153654,156698,159215,159069,159428,159125,155203,155525
"Alfalfa","OK",5629,5648,5668,5856,5821,5917,5936,5913,5765,5702,5708,5681,5637
"Alger","MI",9580,9516,9451,9438,9362,9255,9129,9144,9118,9108,8842,8789,8807
"Allamakee","IA",14378,14222,14149,14071,14062,13874,13851,13803,13852,13687,14068,13968,13960
"Allegan","MI",111523,111163,111499,112009,113349,114112,114979,116368,117173,118081,120647,121010,121210
"Allegany","MD",74965,74572,73947,73576,73020,72462,72053,71352,70941,70416,67955,67691,67267
"Allegany","NY",48971,48800,48210,47900,47652,47334,47044,46639,46332,46091,47320,46921,46694
"Alleghany","NC",11137,11016,10943,10903,10891,10856,10919,10988,11138,11137,10897,11066,11185
"Alleghany","VA",16203,16163,16034,15923,15605,15425,15387,15128,14986,14860,15186,15024,14835
"Allegheny","PA",1223957,1228297,1230911,1233700,1233027,1228827,1226426,1220141,1217281,1216045,1249524,1245445,1233253
"Allen","IN",355945,358974,360890,363355,365147,367362,369412,371723,375079,379299,386082,389112,391449
"Allen","KS",13363,13350,13306,13069,12892,12683,12670,12555,12501,12369,12532,12526,12579
"Allen","KY",20037,20176,20232,20316,20493,20660,20721,20903,21122,21315,20573,20828,21275
"Allen","OH",106358,105988,105244,105055,104848,104095,103613,103093,102725,102351,102107,101792,101115
"Allen Parish","LA",25702,25740,25622,25664,25714,25631,25680,25583,25567,25627,22684,22604,22320
"Allendale","SC",10354,10236,9982,9825,9701,9430,9067,9012,8924,8688,7992,7870,7579
"Alpena","MI",29510,29340,29166,28957,28882,28722,28663,28428,28384,28405,28880,28916,28847
"Alpine","CA",1161,1093,1110,1128,1080,1077,1047,1111,1089,1129,1204,1235,1190
"Amador","CA",37886,37543,37104,36620,36726,37031,37429,38529,39405,39752,40532,41144,41412
"Amelia","VA",12746,12752,12745,12656,12713,12784,12801,12980,13057,13145,13268,13337,13455
"Amherst","VA",32387,32154,32630,32317,32158,31836,31887,31863,31684,31605,31309,31391,31589
"Amite","MS",13138,13142,12939,12856,12605,12553,12433,12448,12327,12297,12699,12644,12619
"Anchorage Municipality","AK",293321,296197,298255,301142,299893,297547,297249,294338,290521,288000,290866,288702,287145
"Anderson","KS",8103,8060,7919,7854,7881,7816,7812,7833,7848,7858,7843,7800,7776
"Anderson","KY",21470,21564,21694,21747,21868,21920,22191,22545,22641,22747,23870,24043,24224
"Anderson","SC",187086,188160,188820,190005,191793,193700,195582,198186,200292,202558,204176,206852,209581
"Anderson","TN",75098,75209,75225,75299,75157,75456,75528,76056,76287,76978,77302,77567,78913
"Anderson","TX",58493,58394,58059,57960,57829,57639,57526,58175,57974,57735,57926,58233,58064
"Andrew","MO",17344,17199,17311,17305,17282,17314,17351,17474,17662,17712,18098,18009,18003
"Andrews","TX",14849,15386,16105,16779,17435,18072,17791,17603,18011,18705,18617,18411,18334
"Androscoggin","ME",107708,107439,107486,107223,107358,107124,107296,107399,107914,108277,111180,112648,113023
"Angelina","TX",86905,87297,87509,87312,87567,87829,87682,87572,86810,86715,86376,86654,87101
"Anne Arundel","MD",539284,544803,550333,555417,559142,563027,567254,571339,575523,579234,589054,592052,593286
"Annual Estimates of the Resident Population for Counties in the United States: April 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anoka","MN",331437,332903,336091,339075,341871,344176,346526,350203,353441,356921,364458,367416,368864
"Anson","NC",26852,26512,26309,25957,25965,25602,25165,24829,24470,24446,22033,22254,22202
"Antelope","NE",6679,6621,6550,6472,6419,6415,6345,6341,6308,6298,6278,6292,6293
"Antrim","MI",23491,23320,23245,23123,23147,23035,23079,23270,23323,23324,23459,23884,24249
"Apache","AZ",71829,72182,72229,72322,71796,71012,71381,71545,71731,71887,65911,65385,65432
"Appanoose","IA",12856,12848,12707,12654,12671,12577,12505,12353,12401,12426,12285,12266,12094
"Appling","GA",18334,18459,18385,18370,18472,18423,18428,18438,18526,18386,18366,18411,18428
"Appomattox","VA",15098,15109,15246,15320,15348,15492,15528,15723,15881,15911,16154,16398,16748
"Aransas","TX",23181,23216,23459,23889,24566,24800,25162,25392,23446,23510,23932,24519,24944
"Arapahoe","CO",574747,585968,596500,608467,619034,630984,638950,644478,651797,656590,655207,656557,655808
"Archer","TX",9118,8840,8816,8801,8844,8763,8781,8783,8700,8553,8554,8684,8835
"Archuleta","CO",12046,12021,12132,12216,12231,12387,12825,13295,13730,14029,13425,13798,14003
"Arenac","MI",15852,15634,15502,15413,15319,15307,15138,15014,15008,14883,15003,15000,15089
