"year_month","gas_price"
"2017-01",2.458
"2017-02",2.416
"2017-03",2.437
"2017-04",2.528
"2017-05",2.503
"2017-06",2.46
"2017-07",2.414
"2017-08",2.494
"2017-09",2.761
"2017-10",2.621
"2017-11",2.678
"2017-12",2.594
"2018-01",2.671
"2018-02",2.705
"2018-03",2.709
"2018-04",2.873
"2018-05",2.987
"2018-06",2.97
"2018-07",2.928
"2018-08",2.914
"2018-09",2.915
"2018-10",2.943
"2018-11",2.736
"2018-12",2.457
"2019-01",2.338
"2019-02",2.393
"2019-03",2.594
"2019-04",2.881
"2019-05",2.946
"2019-06",2.804
"2019-07",2.823
"2019-08",2.707
"2019-09",2.681
"2019-10",2.724
"2019-11",2.693
"2019-12",2.645
"2020-01",2.636
"2020-02",2.533
"2020-03",2.329
"2020-04",1.938
"2020-05",1.961
"2020-06",2.17
"2020-07",2.272
"2020-08",2.272
"2020-09",2.274
"2020-10",2.248
"2020-11",2.2
"2020-12",2.284
"2021-01",2.42
"2021-02",2.587
"2021-03",2.898
"2021-04",2.948
"2021-05",3.076
"2021-06",3.157
"2021-07",3.231
"2021-08",3.255
"2021-09",3.272
"2021-10",3.384
"2021-11",3.491
"2021-12",3.406
"2022-01",3.413
"2022-02",3.611
"2022-03",4.322
"2022-04",4.213
"2022-05",4.545
"2022-06",5.032
"2022-07",4.668
"2022-08",4.087
"2022-09",3.817
"2022-10",3.935
"2022-11",3.799
"2022-12",3.324
"2023-01",3.445
"2023-02",3.501
"2023-03",3.535
"2023-04",3.711
"2023-05",3.666
"2023-06",3.684
"2023-07",3.712
"2023-08",3.954
"2023-09",3.958
"2023-10",3.742
"2023-11",3.443
"2023-12",3.257
"2024-01",3.197
"2024-02",3.328
