"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Abbeville","SC",24567,24587,24527,24256,24258,24356,24776,24776
"Acadia Parish","LA",62559,62214,62045,57472,57262,56744,56541,56541
"Accomack","VA",32685,32581,32316,33388,33364,33191,33314,33314
"Ada","ID",456548,468764,481587,498260,512914,518907,525783,525783
"Adair","IA",7051,7074,7152,7494,7538,7494,7510,7510
"Adair","KY",19287,19199,19202,18880,18953,19067,19126,19126
"Adair","MO",25429,25476,25343,25269,25179,25165,25240,25240
"Adair","OK",22119,22224,22194,19451,19479,19576,19742,19742
"Adams","CO",503590,511354,517421,520479,523592,527575,530980,530980
"Adams","IA",3657,3644,3602,3710,3642,3611,3619,3619
"Adams","ID",4127,4234,4294,4425,4632,4817,4881,4881
"Adams","IL",66057,65623,65435,65612,65146,64725,64559,64559
"Adams","IN",35385,35595,35777,35852,35939,36068,36222,36222
"Adams","MS",31462,31044,30693,29419,28804,28408,28405,28405
"Adams","ND",2324,2276,2216,2187,2152,2115,2128,2128
"Adams","NE",31808,31514,31363,31177,30990,30970,31135,31135
"Adams","OH",27753,27694,27698,27440,27513,27420,27490,27490
"Adams","PA",102562,103062,103009,103779,105632,106027,105943,105943
"Adams","WA",19651,19736,19983,20608,20640,20961,21034,21034
"Adams","WI",19900,20341,20220,20675,20795,21226,21293,21293
"Addison","VT",36900,36873,36777,37343,37444,37578,37602,37602
"Aiken","SC",168325,169449,170872,169163,171263,174150,177148,177148
"Aitkin","MN",15792,15887,15886,15718,15945,16126,16185,16185
"Alachua","FL",266309,268851,269043,279742,281817,284030,288702,288702
"Alamance","NC",163276,166514,169509,171954,173876,176353,178604,178604
"Alameda","CA",1660196,1666756,1671329,1680380,1643837,1628997,1626320,1626320
"Alamosa","CO",16108,16248,16233,16377,16563,16592,16700,16700
"Albany","NY",307717,306585,305506,313987,316301,315811,314111,314111
"Albany","WY",38459,38728,38880,37110,37860,38031,38207,38207
"Albemarle","VA",107768,108377,109330,112502,113742,114534,114958,114958
"Alcona","MI",10309,10360,10405,10189,10300,10417,10421,10421
"Alcorn","MS",37165,36810,36953,34727,34429,34204,34200,34200
"Aleutians East Borough","AK",3455,3395,3337,3425,3424,3398,3398,3398
"Aleutians West Census Area","AK",5729,5640,5634,5222,5155,5122,5121,5121
"Alexander","IL",6278,6041,5761,5173,5032,4858,4846,4846
"Alexander","NC",37143,37331,37497,36482,36467,36512,36978,36978
"Alexandria city","VA",159215,159069,159428,159125,155203,155525,156100,156100
"Alfalfa","OK",5913,5765,5702,5708,5681,5637,5685,5685
"Alger","MI",9144,9118,9108,8842,8789,8807,8810,8810
"Allamakee","IA",13803,13852,13687,14068,13968,13960,13989,13989
"Allegan","MI",116368,117173,118081,120647,121010,121210,121249,121249
"Allegany","MD",71352,70941,70416,67955,67691,67267,67438,67438
"Allegany","NY",46639,46332,46091,47320,46921,46694,46443,46443
"Alleghany","NC",10988,11138,11137,10897,11066,11185,11328,11328
"Alleghany","VA",15128,14986,14860,15186,15024,14835,14890,14890
"Allegheny","PA",1220141,1217281,1216045,1249524,1245445,1233253,1232272,1232272
"Allen","IN",371723,375079,379299,386082,389112,391449,393120,393120
"Allen","KS",12555,12501,12369,12532,12526,12579,12594,12594
"Allen","KY",20903,21122,21315,20573,20828,21275,21341,21341
"Allen","OH",103093,102725,102351,102107,101792,101115,101372,101372
"Allen Parish","LA",25583,25567,25627,22684,22604,22320,22240,22240
"Allendale","SC",9012,8924,8688,7992,7870,7579,7710,7710
"Alpena","MI",28428,28384,28405,28880,28916,28847,28857,28857
"Alpine","CA",1111,1089,1129,1204,1235,1190,1189,1189
"Amador","CA",38529,39405,39752,40532,41144,41412,41344,41344
"Amelia","VA",12980,13057,13145,13268,13337,13455,13505,13505
"Amherst","VA",31863,31684,31605,31309,31391,31589,31706,31706
"Amite","MS",12448,12327,12297,12699,12644,12619,12618,12618
"Anchorage Municipality","AK",294338,290521,288000,290866,288702,287145,287076,287076
"Anderson","KS",7833,7848,7858,7843,7800,7776,7785,7785
"Anderson","KY",22545,22641,22747,23870,24043,24224,24299,24299
"Anderson","SC",198186,200292,202558,204176,206852,209581,213189,213189
"Anderson","TN",76056,76287,76978,77302,77567,78913,79755,79755
"Anderson","TX",58175,57974,57735,57926,58233,58064,58980,58980
"Andrew","MO",17474,17662,17712,18098,18009,18003,18057,18057
"Andrews","TX",17603,18011,18705,18617,18411,18334,18624,18624
