"id","state","county","year_month"
1517,"CA","Los Angeles","1999-10"
1525,"CA","Los Angeles","1999-10"
1531,"CA","Los Angeles","2018-05"
1552,"CA","Los Angeles","1999-10"
1556,"CA","Los Angeles","2016-01"
1572,"CA","Los Angeles","1999-10"
1573,"CA","Los Angeles","2019-04"
1589,"CA","Los Angeles","1999-10"
21609,"CA","Los Angeles","1999-10"
21612,"CA","Los Angeles","2015-12"
21618,"CA","Los Angeles","2017-10"
21713,"CA","San Luis Obispo","2002-07"
25171,"CA","Los Angeles","2019-04"
25500,"CA","Sacramento","2004-05"
25525,"CA","Sacramento","2012-05"
29862,"CA","Solano","2006-08"
32850,"CA","Sacramento","2008-01"
33177,"CA","Los Angeles","2016-10"
33178,"CA","Los Angeles","1999-10"
33179,"CA","Los Angeles","2016-01"
33180,"CA","Los Angeles","2016-01"
33182,"CA","Los Angeles","2019-05"
33183,"CA","Los Angeles","1999-10"
34859,"OR","Washington","2017-02"
35272,"NY","Nassau","2009-11"
35557,"OR","Multnomah","2009-11"
35562,"NY","Albany","2008-07"
35563,"NY","Saratoga","2008-07"
37679,"CT","Capitol","2011-04"
37681,"CT","Capitol","2011-04"
38083,"WA","King","2011-07"
38096,"CT","Capitol","2015-11"
38857,"IL","Sangamon","2011-03"
38859,"IN","Hendricks","2011-03"
38887,"MN","Ramsey","2014-12"
39096,"MO","Phelps","2011-03"
39294,"NH","Hillsborough","2011-04"
39414,"SC","Greenville","2011-05"
39575,"VA","Richmond","2011-05"
39776,"WA","King","2011-03"
39981,"FL","Palm Beach","2011-05"
40047,"MN","Ramsey","2011-10"
40053,"MN","Hennepin","2011-08"
40056,"MN","Ramsey","2011-03"
40057,"MN","Ramsey","2012-07"
40185,"CA","San Diego","2011-07"
40376,"TX","Dallas","2013-06"
40482,"SC","Greenville","2011-07"
40697,"PA","Berks","2011-08"
40765,"OR","Clackamas","2011-03"
41047,"MO","St. Charles","2010-01"
41049,"PA","Allegheny","2011-09"
41093,"FL","Miami-Dade","2011-09"
41096,"FL","Palm Beach","2011-09"
41099,"FL","Palm Beach","2011-09"
41100,"FL","Palm Beach","2011-09"
41101,"FL","Miami-Dade","2011-09"
41102,"FL","Miami-Dade","2011-09"
41121,"SC","Greenville","2011-10"
41122,"SC","York","2011-09"
41230,"MD","Anne Arundel","2011-05"
41240,"NY","Bronx","2021-01"
41263,"SC","Spartanburg","2011-09"
41352,"CA","Santa Clara","2011-06"
41779,"WA","Pierce","2011-10"
41985,"HI","Honolulu","2011-07"
41988,"HI","Honolulu","2011-09"
42043,"CT","Western Connecticut","2011-09"
42044,"WA","Pierce","2011-11"
42196,"OH","Hamilton","2020-08"
42402,"NC","Wake","2011-11"
42460,"IL","McLean","2012-01"
42542,"CO","Boulder","2013-02"
42543,"CO","Boulder","2018-03"
42639,"OH","Franklin","2011-12"
42659,"WI","Milwaukee","2011-01"
42689,"CT","Southeastern Connecticut","2012-05"
