"id","state","county","year_month"
1523,"CA","Los Angeles","1995-08"
1583,"CA","Los Angeles","1996-10"
6355,"CA","San Diego","1997-07"
6405,"CA","Los Angeles","2012-12"
6425,"CA","Riverside","1997-08"
6505,"CA","Los Angeles","1997-08"
6506,"CA","Los Angeles","1997-08"
6507,"CA","Los Angeles","1997-08"
6509,"CA","Los Angeles","1997-08"
7172,"CA","Los Angeles","2012-05"
7184,"CA","Los Angeles","1998-06"
7192,"CA","Los Angeles","1998-05"
7194,"CA","San Bernardino","1998-06"
7195,"CA","Ventura","1998-05"
7196,"CA","Riverside","2011-12"
7206,"CA","Riverside","1998-05"
7212,"CA","Sacramento","1998-06"
7229,"CA","Los Angeles","1998-06"
7230,"CA","Los Angeles","2019-04"
7233,"CA","Los Angeles","1998-05"
7242,"CA","Los Angeles","1998-05"
7245,"CA","Los Angeles","1998-06"
7250,"CA","Los Angeles","1998-06"
7280,"CA","San Francisco","1998-07"
7286,"CA","Sacramento","2019-11"
21351,"CA","San Francisco","2002-01"
21358,"CA","San Francisco","2002-01"
21360,"CA","San Francisco","2002-01"
21395,"CA","Los Angeles","2002-01"
21396,"CA","Los Angeles","2002-01"
21397,"CA","Los Angeles","2002-01"
21398,"CA","Los Angeles","2019-04"
21402,"CA","Los Angeles","2013-03"
21414,"CA","Los Angeles","2019-04"
21419,"CA","Los Angeles","2013-07"
21450,"CA","Los Angeles","2014-06"
21498,"CA","Los Angeles","2002-04"
21524,"CA","Los Angeles","2019-12"
21525,"CA","Los Angeles","2017-04"
21535,"CA","Orange","2002-05"
21559,"CA","Ventura","2002-05"
21561,"CA","Orange","2002-05"
21565,"CA","Ventura","2002-05"
21566,"CA","Ventura","2002-05"
21569,"CA","Los Angeles","2002-05"
21594,"CA","Los Angeles","2002-05"
21606,"CA","Ventura","2012-10"
21607,"CA","Ventura","2012-10"
21608,"CA","Ventura","2002-05"
21673,"CA","Yolo","2004-06"
25491,"CA","Sacramento","2004-06"
25494,"CA","Sacramento","2004-05"
25497,"CA","Sacramento","2019-08"
25501,"CA","Sacramento","2019-11"
25502,"CA","Sacramento","2013-02"
25507,"CA","El Dorado","2004-05"
25511,"CA","Solano","2004-06"
25514,"CA","Solano","2004-06"
25515,"CA","Solano","2004-06"
25516,"CA","Solano","2004-06"
25517,"CA","Solano","2004-06"
25518,"CA","Solano","2004-06"
25519,"CA","Sacramento","2016-02"
25520,"CA","Solano","2004-06"
25522,"CA","El Dorado","2004-05"
25523,"CA","El Dorado","2012-05"
25527,"CA","Placer","1998-06"
25610,"CA","Sacramento","2004-07"
27302,"CA","Solano","2006-08"
27328,"CA","Solano","2012-08"
27329,"CA","Solano","2005-07"
27335,"CA","Solano","2005-07"
28007,"CA","Los Angeles","2011-02"
33351,"WA","Thurston","2018-01"
33378,"OR","Multnomah","2008-10"
33544,"CA","Mendocino","2008-11"
33545,"CA","Solano","2008-12"
33555,"CA","Yolo","2008-12"
33556,"CA","Yolo","2008-12"
33557,"CA","Yolo","2008-12"
33558,"CA","Yolo","2008-12"
33559,"CA","Yolo","1998-06"
33564,"CA","Los Angeles","2012-10"
