Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
274,US,Air Pollution Control Program,"The Air Pollution Control Program assists state, local, and tribal
agencies in planning, developing, establishing, improving, and
maintaining adequate programs for prevention and control of air
pollution or implementation of national air quality standards. Plans may
emphasize alternative fuels, vehicle maintenance, and transportation
choices to reduce vehicle miles traveled. Eligible applicants may
receive federal funding for up to 60% of project costs to implement
their plans. (Reference 42 [U.S. Code](http://www.gpo.gov/fdsys/) 7405)
",,,false,36,Programs,U.S. Environmental Protection Agency,,,2018-12-01 00:00:00 UTC,,"",BIOD|ETH|ELEC|EFFEC|HEV|HY|NG|PHEV|LPG,GNT,"",FLEET,"",archived,2018-12-01
309,US,Clean Fuels Grant Program,"The following was repealed by [Public
Law](https://www.congress.gov/public-laws/116th-congress) 112-141: The
[Clean Fuels Grant
Program](https://www.transit.dot.gov/funding/grants/clean-fuels-grant-program-5308)
assists designated ozone and carbon monoxide air quality nonattainment
and maintenance areas in achieving or maintaining the National Ambient
Air Quality Standards through grant funding. The program accelerates the
deployment of advanced bus technologies by supporting the use of low
emission vehicles in transit fleets. The program assists transit
agencies in purchasing low-emission buses and related equipment,
constructing alternative fuel stations, modifying garage facilities to
accommodate clean fuel vehicles, and assisting with the use of
biodiesel. (Reference 49 [U.S. Code](http://www.gpo.gov/fdsys/) 5308 and
49 [CFR](http://www.gpo.gov/fdsys/) 624)
",2005-08-10 00:00:00 UTC,,false,55,Incentives,U.S. Department of Transportation,,,,2012-07-06 00:00:00 UTC,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,GNT,"",STATION|FLEET,"",repealed,2012-07-06
321,US,Petroleum Violation Escrow Account,"Oil overcharge funds, also known as petroleum violation escrow
(PVE) funds, came from fines paid by oil companies in violation
of the federal oil price caps in place from 1973-1981. These
funds may be used for energy efficiency and renewable energy
projects. More than half the account's money is channeled through
the U.S. Department of Energy's (DOE) State Energy and
Weatherization Assistance Programs and the U.S. Department of
Health and Human Services' Low-Income Home Energy Assistance
Program. These programs grant funds (with DOE review) to states
for a broad range of energy-related programs. To date, more than
$4 billion in PVE funds have been made available to states. For
more information, contact Faith Lambert, DOE, Office of State and
Community Programs, at (202) 586-2319, faith.lambert@hq.doe.gov,
or your State Energy Office (listed under your state's Points of
Contact section).",,,false,20,Incentives,U.S. Department of Energy,,2005-12-31 00:00:00 UTC,,,"",BIOD|ETH|ELEC|EFFEC|HY|NG|PHEV|LPG,GNT,"",FLEET,"",expired,2005-12-31
380,US,Alternative Transportation in Parks and Public Lands Program,"The following was repealed by [Public
Law](https://www.congress.gov/public-laws/116th-congress) 112-141: The
[Alternative Transportation in Parks and Public
Lands](https://www.transit.dot.gov/funding/grants/applying/alternative-transportation-parks-and-public-lands-program-manual)
provides funding to support public transportation projects in parks and
on public lands. The goals of the program include conservation of
natural, historical, and cultural resources, and reduced congestion and
pollution. The Federal Transit Administration administers the program
while partnering with the U.S. Department of the Interior and the Forest
Service to provide for technical assistance in alternative
transportation options. Eligible projects include capital and planning
expenses for alternative transportation systems such as clean fuel
shuttle vehicles. (Reference 49 [U.S. Code](http://www.gpo.gov/fdsys/)
5320)
",2005-08-10 00:00:00 UTC,,false,51,Incentives,U.S. Department of Transportation,,,,2012-07-06 00:00:00 UTC,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,GNT,"",FLEET,"",repealed,2012-07-06
4177,AZ,Alternative Fuel Vehicle (AFV) and Energy Efficient Plate Programs,"Dedicated AFVs qualify for an AFV special license plate, which are
available from the Arizona Department of Transportation (ADOT).
Recognized alternative fuels are propane, natural gas, electricity, and
hydrogen. There is no limit to the number of AFV license plates ADOT can
issue. For more information, see the ADOT AFV website. In addition,
certain plug-in hybrid electric vehicles are eligible for the Energy
Efficient license plate from ADOT. ADOT has reached its maximum limit of
10,000 vehicles and the issuance of Energy Efficient license plates to
new program participants has been suspended until further notice
(verified May 2019). For more information, including how to apply, see
the ADOT Energy Efficient Plate Program website. (Reference Arizona
Revised Statutes 28-2416 and 28-2416.01)
",2007-01-01 00:00:00 UTC,2009-07-13 00:00:00 UTC,false,15,State Incentives,"",2014-07-29 16:38:47 UTC,,2020-06-12 00:00:00 UTC,,"",ELEC|HY|NG|PHEV|LPG,EXEM,"",FLEET|GOV|IND,http://www.azleg.gov/ArizonaRevisedStatutes.asp,archived,2020-06-12
4286,CT,Alternative Fuel Fueling Infrastructure and Alternative Fuel Vehicle (AFV) Conversion Tax Credit,"Prior to January 1, 2008, a Corporation Business Tax credit is
available for 50% of the following expenditures: the construction
of, improvements to, or equipment for any compressed natural gas
(CNG), liquefied natural gas (LNG), or liquefied petroleum gas
(LPG) refueling station or an electric vehicle recharging
station; or the purchase and installation of equipment used in
dedicated or dual-fuel CNG, LNG, LPG, or electric vehicle
conversions. This credit may be carried forward for up to three
years. (Reference Connecticut General Statutes ( http://www.cga.ct.gov ) 12-217i)",,,false,10,State Incentives,"",,2008-01-01 00:00:00 UTC,,,"",ELEC|NG|PHEV|LPG,TAX,"",STATION|FLEET|IND,"",expired,2008-01-01
4368,IL,Alternative Fuel Vehicle (AFV) and Alternative Fuel Rebates,"The Illinois Alternate Fuels Rebate Program provides a rebate for 80%,
up to \$4,000, of the incremental cost of purchasing an AFV; 80%, up to
\$4,000, of the cost of converting a conventional vehicle to an AFV
using a federally certified conversion; and the incremental cost of
purchasing alternative fuels. Eligible fuels for the program include
E85, fuel blends containing at least 20% biodiesel (B20), natural gas,
propane, electricity, and hydrogen. A vehicle may receive one rebate in
its lifetime. Only AFVs purchased from an Illinois-based company or
vendor may qualify, except if the vehicle is a heavy-duty specialty
vehicle that is not sold in Illinois. To qualify for a fuel rebate, the
entity or individual must purchase the majority of E85 or biodiesel fuel
from Illinois retail stations or fuel suppliers. The E85 fuel rebate is
up to \$450 per year (depending on vehicle miles traveled) for up to
three years for each flexible fuel vehicle that uses E85 at least half
the time. The biodiesel fuel rebate (for B20 and higher blends) is for
80% of the incremental cost of the biodiesel fuel, as compared to
conventional diesel. Rebates are part of the Illinois Green Fleets
Program and are available to all qualified Illinois residents,
businesses, government units (except federal government), and
organizations located in Illinois. This program is suspended
indefinitely (verified August 2016). For more information, including a
list of eligible vehicles, see the Illinois Alternate Fuels Rebate
Program. (Reference 415 [Illinois Compiled
Statutes](http://www.ilga.gov/legislation/ilcs/ilcs.asp) 120/30)
",2005-06-20 00:00:00 UTC,2015-03-16 00:00:00 UTC,false,10,State Incentives,"",2015-07-10 17:38:39 UTC,,2017-10-01 00:00:00 UTC,,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,RBATE,"",PURCH|FLEET|IND,"",archived,2017-10-01
4446,LA,Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Tax Credit,"The following was repealed by Act No. 469, Section 2, 2009: The state
offers an income tax credit worth 20% of the cost of converting a
vehicle to operate on an alternative fuel, 20% of the incremental cost
of purchasing an Original Equipment Manufacturer (OEM) AFV or hybrid
electric vehicle (HEV), and 20% of the cost of constructing an
alternative fueling station. Only vehicles registered in Louisiana can
receive the tax credit. For the purpose of this incentive, alternative
fuels include compressed natural gas, liquefied natural gas, liquefied
petroleum gas, methanol, ethanol, electricity, and any other fuels which
meet or exceed federal clean air standards. (Reference Louisiana Revised
Statutes 47:38 and 47:287.757)
",,,false,10,State Hybrid Incentives,"",,,,2009-07-09 00:00:00 UTC,"",ETH|ELEC|HEV|HY|NG|PHEV|LPG,TAX,"",STATION|FLEET|IND,http://www.legis.state.la.us/,repealed,2009-07-09
4451,LA,Alternative Fuel Vehicle (AFV) Acquisition Requirements,"The following was repealed: At least 80% of all vehicles purchased or
leased by state agencies and local governments must be capable of being
fueled by alternative fuels, or any fuel that meets or exceeds federal
Clean Air Act standards. Exemptions may apply to a state agency or a
local government that provides evidence that a central refueling station
for alternative fuels is not available, or that projected net costs will
exceed those associated with continued use of traditional gasoline or
diesel fuels over the expected useful life of the equipment or refueling
facilities. (Reference Louisiana Revised Statutes 33:1418 and 39:364)
",,,false,20,Laws and Regulations,"",,,,2003-07-01 00:00:00 UTC,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,FLEET,"",repealed,2003-07-01
4490,MA,State Agency Alternative Fuel Vehicle (AFV) Acquisition Requirement,"State fleets must acquire AFVs according to the requirements of the
Energy Policy Act (EPAct) of 1992 and the Massachusetts Office of
Vehicle Management (OVM) must approve any light-duty vehicle
acquisition. All agencies must purchase the most economical,
fuel-efficient, and low emission vehicles appropriate to their mission.
OVM, in collaboration with the Massachusetts Department of Energy
Resources, will set new minimum standards for vehicle mileage and work
with agencies to acquire vehicles that provide the best value for the
Commonwealth on a total cost of ownership basis. (Reference [Executive
Order](http://www.lawlib.state.ma.us/source/mass/eo/index.html) 388,
1996, and Massachusetts Executive Office of Administration and Finance
Administrative Bulletin 10, 2010)
",1996-06-26 00:00:00 UTC,,false,55,Laws and Regulations,"",,,2012-12-31 00:00:00 UTC,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,FLEET,http://www.lawlib.state.ma.us/source/mass/eo/index.html,archived,2012-12-31
