Vehicle ID,Model,Manufacturer,Transmission Make,Num Passengers,Power System Ids,Fuels,Application Categories,Transmission Types
11283,Enviro500EV,Alexander Dennis,"",82,[10623],Electric,Transit Bus,Automatic
10773,ACMD,Autocar,Allison 2500/3000/3500 RDS,"",[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,""
11099,ACMD,Autocar,Allison 2500/3000/3500 RDS,"",[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Refuse,""
11208,ACTT Severe Duty Terminal Tractor,Autocar,Allison 3000/3500 RDS,"",[10505],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor,""
10899,ACX,Autocar,Allison 3000/4000 RDS,"","[10013, 10301]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Refuse,""
10882,ACX,Autocar,Allison 3000/4000 RDS,"","[10013, 10301]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,""
11063,DC-64,Autocar,Allison 3000/3500/4500 RDS,"",[10301],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,""
11100,DC-64R,Autocar,Allison 3000/3500/4500 RDS,"",[10301],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Refuse,""
11209,E-ACTT,Autocar,Vorza,"",[10562],Electric,Tractor,Automatic
11212,LOW ENTRY TILT 2,Battle Motors,Allison 3000/3500/4500 RDS,"","[10013, 10505]",CNG - Compressed Natural Gas,Vocational/Cab Chassis,""
11210,LOW ENTRY TILT 2,Battle Motors,"","","[10563, 10606]",Electric,Vocational/Cab Chassis,Automatic
11267,LOW NARROW TILT,Battle Motors,Allison 3000 RDS,"","[10013, 10505]",CNG - Compressed Natural Gas,Vocational/Cab Chassis,""
11211,LOW NARROW TILT ,Battle Motors,"","","[10563, 10606]",Electric,Vocational/Cab Chassis,Automatic
10885,All American Activity,Blue Bird,Allison 3000,84,[10013],CNG - Compressed Natural Gas,Passenger Van/Shuttle Bus,""
623,All American Rear Engine - Class 7,Blue Bird,Allison 3000,84,[10013],CNG - Compressed Natural Gas,School Bus,""
10942,All American RE Electric,Blue Bird,"",84,[10525],Electric,School Bus,Automatic
11103,All American RE Electric Activity,Blue Bird,"",84,[10525],Electric,Passenger Van/Shuttle Bus,Automatic
10886,Micro Bird 5G Activity,Blue Bird,"",37,[10533],Propane,Passenger Van/Shuttle Bus,""
11102,Micro Bird Activity G5 Electric,Blue Bird,"",30,[],Electric,Passenger Van/Shuttle Bus,""
10662,Micro Bird G5 - Class 3,Blue Bird,"",37,[10533],Propane,School Bus,""
11018,Micro Bird G5 Electric,Blue Bird,"",30,[],Electric,School Bus,""
11101,Vision - Class 7,Blue Bird,"",83,[10533],Propane,School Bus,Automatic
10884,Vision Activity,Blue Bird,"",78,[10533],Propane,Passenger Van/Shuttle Bus,""
11017,Vision Electric,Blue Bird,"",77,[10525],Electric,School Bus,Automatic
11104,Vision Electric Activity,Blue Bird,"",77,[10525],Electric,Passenger Van/Shuttle Bus,Automatic
11065,6R,BYD,BYD,"",[],Electric,Refuse,""
10883,8R/ER,BYD,BYD,"",[],Electric,Refuse,""
11080,8TT/ER Tandem Axle,BYD,BYD,"",[],Electric,Tractor,Automatic
10779,8Y Terminal Tractor,BYD,BYD,"",[],Electric,Tractor,""
10785,C10M (45'),BYD,BYD,57,[10409],Electric,Passenger Van/Shuttle Bus,""
11108,C10MS (45' double decker),BYD,BYD,77,[10409],Electric,Transit Bus,""
10783,C6M (23'),BYD,BYD,18,[10554],Electric,Passenger Van/Shuttle Bus,""
11106,C8M (35'),BYD,BYD,41,[10409],Electric,Passenger Van/Shuttle Bus,""
11107,C8MS (35' double decker),BYD,BYD,51,[10409],Electric,Transit Bus,""
10784,C9M (40'),BYD,BYD,49,[10409],Electric,Passenger Van/Shuttle Bus,""
10776,Class 6F Cab & Chassis,BYD,BYD,"",[],Electric,Vocational/Cab Chassis,""
11105,K11M (60'),BYD,BYD,55,[10609],Electric,Transit Bus,""
10781,K7M (30'),BYD,BYD,22,[10607],Electric,Transit Bus,""
11213,K7M ER (30'),BYD,BYD,22,[10608],Electric,Transit Bus,""
10782,K8M (35'),BYD,BYD,32,[10610],Electric,Transit Bus,""
10767,K9M (40'),BYD,BYD,37,[10610],Electric,Transit Bus,""
11214,K9MD (40'),BYD,BYD,42,[10610],Electric,Transit Bus,""
11250,Type A (26'),BYD,"",30,[10592],Electric,School Bus,Automatic
11239,Type D (36'),BYD,"",84,[10410],Electric,School Bus,Automatic
10898,3500/4500 Low Cab Forward,Chevrolet,"","",[10422],Ethanol (E85),Vocational/Cab Chassis,""
10819,"4500 HD, 4500 XD, 5500 HD, 5500 XD Low Cab Forward",Chevrolet,"","",[10564],Biodiesel (B20),Vocational/Cab Chassis,""
11215,6500/7500 XD Low Cab Forward,Chevrolet,Allison 2500 RDS,"",[10382],Biodiesel (B20),Vocational/Cab Chassis,""
10896,Express 2500/3500,Chevrolet,"","",[10422],Ethanol (E85),Van,""
11127,Express 2500/3500,Chevrolet,"","",[10422],Ethanol (E85),Passenger Van/Shuttle Bus,""
10897,Express 3500/4500 Cutaway,Chevrolet,"","",[10422],Ethanol (E85),Vocational/Cab Chassis,""
10810,Silverado 3500 HD Cab Chassis,Chevrolet,Allison,"",[10422],Biodiesel (B20),Vocational/Cab Chassis,""
10803,Sliverado 2500/3500 HD,Chevrolet,Allison,"",[10422],Biodiesel (B20),Pickup,""
11178,e.COBUS 2700,COBUS Industries,"",96,[10062],Electric,Transit Bus,""
11177,e.COBUS 2700S,COBUS Industries,"",77,[10062],Electric,Transit Bus,""
10502,e.COBUS 3000,COBUS Industries,"",110,[10062],Electric,Transit Bus,""
11143,DE516,Collins Bus Corp.,Motiv,24,[10477],Electric,School Bus,""
11144,DE516WF,Collins Bus Corp.,Motiv,16 + 1 wheelchair,[10477],Electric,School Bus,""
11251,Ford E-Transit,Collins Bus Corp.,"",16 + 1 wheelchair,[],Electric,School Bus,""
364,Broom Bear,Elgin,"","",[10013],CNG - Compressed Natural Gas,Street Sweeper,Automatic
11216,Broom Bear CNG Hybrid,Elgin,"","",[10013],CNG - Compressed Natural Gas|Plug-in Hybrid Electric,Street Sweeper,Automatic
11252,Broom Bear Electric,Elgin,"","",[10593],Electric,Street Sweeper,Automatic
11217,Broom Bear Plug-In Hybrid,Elgin,"","",[10428],Plug-in Hybrid Electric|Diesel/Hybrid Electric,Street Sweeper,Automatic
231,Crosswind1,Elgin,"","",[10013],CNG - Compressed Natural Gas,Street Sweeper,""
11179,Pelican,Elgin,"","",[10505],CNG - Compressed Natural Gas,Street Sweeper,Automatic
11240,Pelican Plug-In Hybrid,Elgin,"","",[10581],Plug-in Hybrid Electric|Diesel/Hybrid Electric,Street Sweeper,Automatic
11218,AXESS 32',ENC,"Allison, Voith, ZF",25,"[10428, 10478]",Diesel/Hybrid Electric,Transit Bus,""
11219,AXESS 32',ENC,"Allison, Voith, ZF",25,"[10013, 10478]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
11110,AXESS 35',ENC,"Allison, Voith, ZF",35,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
11109,AXESS 35',ENC,"Allison, Voith, ZF",35,"[10428, 10478]",Diesel/Hybrid Electric,Transit Bus,""
10945,AXESS 40',ENC,"Allison, Voith, ZF",43,"[10428, 10478]",Diesel/Hybrid Electric,Transit Bus,""
10879,AXESS 40',ENC,"Allison, Voith, ZF",43,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
11220,Axess EVO-BEB 32',ENC,.,.27,[10594],Electric,Transit Bus,""
11221,Axess EVO-BEB 35',ENC,.,.35,[10594],Electric,Transit Bus,""
11222,Axess EVO-BEB 40',ENC,.,.43,[10594],Electric,Transit Bus,""
10944,AXESS EVO-FC 40',ENC,BAE,43,[10594],Hydrogen Fuel Cell,Transit Bus,""
11113,E-Z RIDER II 30',ENC,"Allison, Voith, ZF",31,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
11115,E-Z RIDER II 30',ENC,"Allison, Voith, ZF",31,"[10382, 10428, 10478, 10519]",Diesel/Hybrid Electric,Transit Bus,""
11112,E-Z RIDER II 32',ENC,"Allison, Voith, ZF",33,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
10946,E-Z RIDER II 32',ENC,"Allison, Voith, ZF",33,"[10382, 10428, 10478, 10519]",Diesel/Hybrid Electric,Transit Bus,""
11114,E-Z RIDER II 35',ENC,"Allison, Voith, ZF",41,"[10382, 10428, 10478, 10519]",Diesel/Hybrid Electric,Transit Bus,""
10947,E-Z RIDER II 35',ENC,"Allison, Voith, ZF",41,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
11246,Cutaway Van,Envirotech,"","",[10587],Electric,Vocational/Cab Chassis,Automatic
11248,Logistics Van,Envirotech,"","",[10587],Electric,Van,Automatic
11247,Urban Truck,Envirotech,"","",[10587],Electric,Vocational/Cab Chassis,Automatic
